,Totals,USA,Brazil,South Korea,India,Mexico,Germany,Colombia,France,Italy
Thigh Lift,"70,672","8,775","10,505",86,"2,967","3,317","3,160","2,613","3,876","1,328"
Upper Arm Lift,"102,588","17,810","12,595",707,"5,074","5,069","4,437","2,546","5,330","2,160"
Upper Body Lift,"22,634","2,600","2,805",0,"1,333","1,674","1,563","1,017",124,616
Labiaplasty,"95,010","10,855","12,870","2,186","3,935","3,441","5,296","3,259","3,097","1,872"
Vaginal Rejuvenation,"50,086","2,535","6,600","2,764","6,859","2,821",639,"2,508",523,"1,312"
Total Body & Extremities Procedures,"2,881,968","454,935","435,270","58,697","153,317","165,509","79,823","122,199","72,191","37,672"
Total Surgical Procedures,"9,641,253","1,414,335","1,224,300","445,144","420,454","461,544","308,258","314,783","259,208","138,864"
Non-Surgical Procedures,,,,,,,,,,
Injectables,,,,,,,,,,
Botulinum Toxin,"4,627,752","1,141,595","359,865","279,019","85,334","161,355","148,459","76,000","91,751","110,400"
Calcium Hydroxylapatite,"173,492","59,930","13,805","4,415",215,"7,208","4,833",580,"3,525","5,344"
Hyaluronic Acid,"2,865,086","580,320","195,030","198,378","60,050","86,320","129,852","41,002","92,103","109,288"
Poly-L-Lactic Acid,"64,134","24,050","9,350","1,672",151,93,"1,277",0,979,"2,272"
Total Injectables,"7,730,464","1,805,895","578,050","483,482","145,749","254,975","284,421","117,582","188,357","227,304"
Facial Rejuvenation,,,,,,,,,,
Chemical Peel,"489,344","101,010","86,295","7,779","58,093","8,339","2,092","5,852","5,026","12,112"
Full Field Ablative,"169,098","30,290","30,800","4,329","11,610","6,247","1,277","3,629",323,"5,616"
Micro-Ablative Resurfacing,"217,593","45,175","25,190","22,009","16,942","5,549",0,"4,142",105,"2,656"
Dermabrasion,"51,882","8,385","2,365","1,436","3,225","2,000","4,085","2,119",779,712
Microdermabrasion,"365,587","111,150","33,330","16,801","19,135","19,329",209,"14,317",0,"1,744"
Nonsurgical Skin Tightening,"340,609","56,550","31,240","36,088","11,202","28,350","6,000","6,973","6,451","3,784"
Photo Rejuvenation,"568,672","122,850","78,155","48,860","6,816","24,521",0,"13,965","6,099","2,688"
Polymethylmethacrylate,"36,017","7,605","10,890","2,722",0,264,0,0,0,0
Total Injectables,"2,238,803","483,015","298,265","140,024","127,022","94,597","13,663","50,996","18,782","29,312"
Other,,,,,,,,,,
Cellulite Treatment,"283,598","12,480","67,155","10,136","16,534","33,480","1,453","5,396","6,251","5,240"
Hair Removal,"1,099,053","174,590","106,205","45,217","154,650","30,008","4,118","30,077","7,201","4,928"
Nonsurgical Fat Reduction,"425,315","119,470","17,655","19,330","32,293","17,066","4,151","23,646","8,921","4,712"
Tattoo Removal,"128,218","12,740","11,770","12,772","24,209","6,696",352,"2,698",0,"1,512"
Treatment of Leg Veins,"73,190","7,800","14,245",43,"9,052","2,682",66,"1,492",0,"1,088"
Sclerotherapy,"76,778","12,285","6,600",86,"5,526","6,867",925,"1,967",0,"5,800"
Total Other,"2,086,152","339,365","223,630","87,584","242,262","96,798","11,065","65,275","22,373","23,280"
Total Non-Surgical Procedures,"12,055,418","2,628,275","1,099,945","711,090","515,033","446,369","309,150","233,852","229,511","279,896"
Total Procedures,"21,696,671","4,042,610","2,324,245","1,156,234","935,487","907,913","617,408","548,635","488,718","418,760"
