heat_con,layout,location,neighborhood,type_layout,area,building,decoration,direction,heat,name,price,subway,url,visiting,zone,zoneinfo
集中供暖,合租,石门营,门头沟,房屋户型：3室1厅1卫  合租,8平米  ,惠润家园小区二地块  ,自如友家4.0米苏,东,集中供暖,惠润家园小区二地块3居室 02卧,1430,近地铁,https://bj.lianjia.com/zufang/BJ0004799035.html,随时看房,石门营租房/中楼层(共25层)/2013年建板楼,3室1厅  
集中供暖,整租,太平桥,西城,房屋户型：1室1厅1卫  整租,45平米  ,湾子街社区  ,原味,东,集中供暖,湾子街社区1居室,5690,近地铁,https://bj.lianjia.com/zufang/BJ0004849992.html,随时看房,太平桥租房/中楼层(共6层)/1990年建板楼,1室1厅  
集中供暖,合租,太平桥,丰台,房屋户型：3室1厅1卫  合租,14平米  ,太平桥西里  ,自如友家4.0拿铁,东,集中供暖,太平桥西里3居室 01卧,3290,近地铁,https://bj.lianjia.com/zufang/BJ0004861116.html,随时看房,太平桥租房/中楼层(共6层)/1980年建板楼,3室1厅  
集中供暖,整租,西罗园,丰台,房屋户型：2室1厅1卫  整租,63平米  ,西罗园南里  ,,西,,西罗园南里2居室,6690,,https://bj.lianjia.com/zufang/BJ0004804082.html,,西罗园租房/中楼层(共18层)/1993年建塔楼,2室1厅  
集中供暖,合租,西罗园,丰台,房屋户型：4室1厅1卫  合租,15平米  ,祥瑞苑  ,,西,,祥瑞苑4居室 05卧,2730,,https://bj.lianjia.com/zufang/BJ0004808725.html,,西罗园租房/低楼层(共14层)/2000年建板楼,4室1厅  
集中供暖,合租,清河,海淀,房屋户型：2室1厅1卫  合租,11平米  ,宝盛北里  ,,南,,宝盛北里2居室 01卧,3690,,https://bj.lianjia.com/zufang/BJ0004810749.html,,清河租房/高楼层(共6层)/2004年建板楼,2室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,13平米  ,海户西里33号院  ,自如友家4.0拿铁,西南,集中供暖,海户西里33号院3居室 01卧,3290,近地铁,https://bj.lianjia.com/zufang/BJ0004812517.html,随时看房,洋桥租房/中楼层(共18层)/1996年建塔楼,3室1厅  
自供暖,整租,六里桥,海淀,房屋户型：1室1厅1卫  整租,61平米  ,橙色年代  ,,西,,橙色年代1居室,5990,,https://bj.lianjia.com/zufang/BJ0004809692.html,,六里桥租房/低楼层(共24层)/2004年建塔楼,1室1厅  
集中供暖,整租,西直门,海淀,房屋户型：2室1厅1卫  整租,68平米  ,交大东路50号院  ,原味,南,集中供暖,交大东路50号院2居室,9030,近地铁,https://bj.lianjia.com/zufang/BJ0004829033.html,随时看房,西直门租房/低楼层(共16层)/1989年建塔楼,2室1厅  
暂无数据,合租,通州其它,通州,房屋户型：3室1厅1卫  合租,7平米  ,富力尚悦居  ,,西,,富力尚悦居3居室 03卧,1790,,https://bj.lianjia.com/zufang/BJ0004801816.html,,通州其它租房/低楼层(共11层)/暂无数据,3室1厅  
集中供暖,合租,滨河西区,门头沟,房屋户型：3室1厅1卫  合租,9平米  ,霁月园  ,,东,,霁月园3居室 02卧,1530,,https://bj.lianjia.com/zufang/BJ0004798962.html,,滨河西区租房/高楼层(共16层)/2006年建板楼,3室1厅  
集中供暖,合租,朝阳门外,朝阳,房屋户型：3室1厅1卫  合租,7平米  ,东大桥路  ,自如友家3.0米苏,西,集中供暖,东大桥路3居室 02卧,3490,近地铁,https://bj.lianjia.com/zufang/BJ0004796467.html,随时看房,朝阳门外租房/高楼层(共5层)/1967年建板楼,3室1厅  
集中供暖,合租,望京,朝阳,房屋户型：2室1厅1卫  合租,7平米  ,花家地西里一区  ,,南,,花家地西里一区2居室 01卧,3390,,https://bj.lianjia.com/zufang/BJ0004803343.html,,望京租房/低楼层(共12层)/1997年建板塔结合,2室1厅  
暂无数据,合租,后沙峪,顺义,房屋户型：3室1厅1卫  合租,10平米  ,三山新新家园  ,,南,,三山新新家园3居室 01卧,2290,,https://bj.lianjia.com/zufang/BJ0004812708.html,,后沙峪租房/中楼层(共6层)/2004年建板楼,3室1厅  
自供暖,合租,宋家庄,丰台,房屋户型：4室1厅1卫  合租,16平米  ,政怡家园  ,自如友家4.0拿铁,南,自供暖,政怡家园4居室 01卧,4030,近地铁,https://bj.lianjia.com/zufang/BJ0004806831.html,随时看房,宋家庄租房/中楼层(共18层)/2006年建板塔结合,4室1厅  
集中供暖,合租,望京,朝阳,房屋户型：2室1厅1卫  合租,13平米  ,花家地西里一区  ,,南,,花家地西里一区2居室 01卧,4490,,https://bj.lianjia.com/zufang/BJ0004808060.html,,望京租房/中楼层(共6层)/1995年建板楼,2室1厅  
集中供暖,整租,广安门,西城,房屋户型：1室1厅1卫  整租,46平米  ,车站西街17号院  ,,南,,车站西街17号院1居室,5490,,https://bj.lianjia.com/zufang/BJ0004811322.html,,广安门租房/高楼层(共6层)/1992年建板楼,1室1厅  
集中供暖,合租,北大地,丰台,房屋户型：3室1厅1卫  合租,12平米  ,东安街头条  ,,东,,东安街头条3居室 03卧,2290,,https://bj.lianjia.com/zufang/BJ0004854548.html,,北大地租房/高楼层(共6层)/2001年建板楼,3室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,10平米  ,东丽温泉  ,,南,,东丽温泉3居室 01卧,3030,,https://bj.lianjia.com/zufang/BJ0004853754.html,,洋桥租房/低楼层(共18层)/1998年建塔楼,3室1厅  
集中供暖,合租,甘露园,朝阳,房屋户型：3室1厅1卫  合租,6平米  ,朝阳无限  ,,西,,朝阳无限3居室 02卧,2590,,https://bj.lianjia.com/zufang/BJ0004853639.html,,甘露园租房/低楼层(共23层)/2003年建板塔结合,3室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,8平米  ,东丽温泉  ,,东,,东丽温泉3居室 02卧,2630,,https://bj.lianjia.com/zufang/BJ0004853755.html,,洋桥租房/低楼层(共18层)/1998年建塔楼,3室1厅  
集中供暖,整租,官园,西城,房屋户型：2室1厅1卫  整租,128平米  ,西派国际公寓  ,原味,西,集中供暖,西派国际公寓2居室,22000,近地铁,https://bj.lianjia.com/zufang/BJ0004802938.html,随时看房,官园租房/低楼层(共17层)/2009年建板楼,2室1厅  
暂无数据,合租,后沙峪,顺义,房屋户型：3室1厅1卫  合租,21平米  ,三山新新家园  ,,南,,三山新新家园3居室 03卧,2390,,https://bj.lianjia.com/zufang/BJ0004812712.html,,后沙峪租房/中楼层(共6层)/2004年建板楼,3室1厅  
集中供暖,整租,马连道,西城,房屋户型：1室1厅1卫  整租,42平米  ,红莲南里  ,,东,,红莲南里1居室,5030,,https://bj.lianjia.com/zufang/BJ0004811711.html,,马连道租房/低楼层(共6层)/1991年建板楼,1室1厅  
集中供暖,合租,月坛,西城,房屋户型：2室1厅1卫  合租,14平米  ,月坛北街  ,,南,,月坛北街2居室 02卧,3960,,https://bj.lianjia.com/zufang/BJ0004805385.html,,月坛租房/低楼层(共5层)/1973年建板楼,2室1厅  
集中供暖,合租,月坛,西城,房屋户型：2室1厅1卫  合租,14平米  ,月坛北街  ,自如友家4.0拿铁,南,集中供暖,月坛北街2居室 01卧,4160,近地铁,https://bj.lianjia.com/zufang/BJ0004805384.html,随时看房,月坛租房/低楼层(共5层)/1973年建板楼,2室1厅  
集中供暖,整租,宣武门,西城,房屋户型：1室1厅1卫  整租,59平米  ,海格国际  ,原味,东,集中供暖,海格国际1居室,7930,近地铁,https://bj.lianjia.com/zufang/BJ0004799536.html,随时看房,宣武门租房/高楼层(共19层)/2005年建塔楼,1室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,11平米  ,政洋家园  ,,东,,政洋家园3居室 03卧,2760,,https://bj.lianjia.com/zufang/BJ0004799851.html,,洋桥租房/低楼层(共18层)/1998年建塔楼,3室1厅  
集中供暖,合租,望京,朝阳,房屋户型：3室1厅1卫  合租,10平米  ,花家地西里二区  ,,东,,花家地西里二区3居室 03卧,3760,,https://bj.lianjia.com/zufang/BJ0004806556.html,,望京租房/高楼层(共6层)/1996年建板楼,3室1厅  
集中供暖,整租,六里桥,海淀,房屋户型：1室1厅1卫  整租,49平米  ,吴家村路10号院  ,,西,,吴家村路10号院1居室,5130,,https://bj.lianjia.com/zufang/BJ0004809396.html,,六里桥租房/高楼层(共6层)/1998年建板楼,1室1厅  
集中供暖,整租,大峪,门头沟,房屋户型：2室1厅1卫  整租,50平米  ,大峪南路  ,,南,,大峪南路2居室,3230,,https://bj.lianjia.com/zufang/BJ0004798300.html,,大峪租房/中楼层(共5层)/1993年建板楼,2室1厅  
集中供暖,整租,金融街,西城,房屋户型：1室1厅1卫  整租,76平米  ,西城晶华  ,原味,东,集中供暖,西城晶华1居室,12000,近地铁,https://bj.lianjia.com/zufang/BJ0004816758.html,随时看房,金融街租房/中楼层(共11层)/2008年建板塔结合,1室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：4室1厅1卫  合租,10平米  ,东丽温泉  ,,东,,东丽温泉4居室 05卧,3590,,https://bj.lianjia.com/zufang/BJ0004806917.html,,洋桥租房/中楼层(共18层)/1998年建塔楼,4室1厅  
集中供暖,整租,CBD,朝阳,房屋户型：3室1厅1卫  整租,179平米  ,蓝堡国际公寓  ,原味,北,集中供暖,蓝堡国际公寓3居室,22000,近地铁,https://bj.lianjia.com/zufang/BJ0004809961.html,随时看房,CBD租房/中楼层(共16层)/2004年建板塔结合,3室1厅  
集中供暖,整租,金融街,西城,房屋户型：1室1厅1卫  整租,65平米  ,北京尊府  ,原味,西,集中供暖,北京尊府1居室,14500,近地铁,https://bj.lianjia.com/zufang/BJ0004803173.html,随时看房,金融街租房/中楼层(共14层)/2008年建塔楼,1室1厅  
集中供暖,合租,洋桥,丰台,房屋户型：3室1厅1卫  合租,12平米  ,洋桥71号院  ,,北,,洋桥71号院3居室 02卧,3130,,https://bj.lianjia.com/zufang/BJ0004801640.html,,洋桥租房/高楼层(共18层)/1996年建塔楼,3室1厅  
集中供暖,合租,望京,朝阳,房屋户型：3室1厅1卫  合租,11平米  ,花家地西里二区  ,自如友家4.0拿铁,东,集中供暖,花家地西里二区3居室 01卧,5330,近地铁,https://bj.lianjia.com/zufang/BJ0004806554.html,随时看房,望京租房/高楼层(共6层)/1996年建板楼,3室1厅  
集中供暖,合租,西罗园,丰台,房屋户型：4室1厅1卫  合租,23平米  ,祥瑞苑  ,,南,,祥瑞苑4居室 01卧,3990,,https://bj.lianjia.com/zufang/BJ0004801877.html,,西罗园租房/高楼层(共14层)/2000年建板楼,4室1厅  
集中供暖,暂无数据,福成四期,燕郊,房屋户型：2室1厅1卫  ,70平米  ,燕园公寓  ,,南 北,,燕园公寓 2室1厅 1300元,1300,,https://lf.lianjia.com/zufang/101102948275.html,,福成四期租房/高楼层(共6层)/板楼,2室1厅  
集中供暖,整租,双井,朝阳,房屋户型：1室0厅1卫  整租,63平米  ,富力城A区  ,精装修,北,集中供暖,双井富力城北向开间，精装修，拎包入住,9500,近地铁,https://bj.lianjia.com/zufang/101103052162.html,随时看房,双井租房/高楼层(共28层)/2004年建板塔结合,1室0厅  
集中供暖,暂无数据,刘家窑,丰台,房屋户型：2室2厅2卫  ,104平米  ,建邦华府  ,,南 北,,建邦华府 2室2厅 8800元,8800,,https://bj.lianjia.com/zufang/101103199260.html,,刘家窑租房/高楼层(共13层)/2009年建板楼,2室2厅  
集中供暖,暂无数据,燕顺路东,燕郊,房屋户型：2室1厅1卫  ,86平米  ,福城上上城三季  ,,西南,,福城上上城三季 2室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101103097224.html,,燕顺路东租房/高楼层(共23层)/2010年建板塔结合,2室1厅  
集中供暖,整租,旧宫,大兴,房屋户型：2室1厅1卫  整租,112平米  ,清和园甲区  ,,南 北,,清和园甲区简装二居室欢迎随时入住,4200,,https://bj.lianjia.com/zufang/101103009190.html,,旧宫租房/高楼层(共6层)/2001年建板楼,2室1厅  
集中供暖,暂无数据,燕顺路东,燕郊,房屋户型：2室1厅1卫  ,93平米  ,福城上上城三季  ,,南 北,,福城上上城三季 2室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101102607977.html,,燕顺路东租房/高楼层(共23层)/2010年建板塔结合,2室1厅  
集中供暖,暂无数据,福成五期公交总站,燕郊,房屋户型：1室0厅1卫  ,49平米  ,福城上上城五期  ,,南,,福城上上城五期 1室0厅 1000元,1000,,https://lf.lianjia.com/zufang/101103142943.html,,福成五期公交总站租房/中楼层(共18层)/2009年建板楼,1室0厅  
自供暖,整租,亚运村小营,朝阳,房屋户型：3室2厅2卫  整租,147平米  ,嘉铭桐城C区  ,精装修,南,自供暖,亚运村小营嘉铭桐城精装修三居 可长租 有钥匙看房随时,14000,近地铁,https://bj.lianjia.com/zufang/101103091197.html,随时看房,亚运村小营租房/中楼层(共29层)/2003年建塔楼,3室2厅  
集中供暖,暂无数据,首尔甜城,燕郊,房屋户型：2室1厅1卫  ,82平米  ,首尔甜城MOBO公寓  ,,西北,,首尔甜城MOBO公寓 2室1厅 1800元,1800,,https://lf.lianjia.com/zufang/101103142141.html,,首尔甜城租房/低楼层(共26层)/2013年建塔楼,2室1厅  
集中供暖,整租,新华大街,通州,房屋户型：2室2厅2卫  整租,94平米  ,东营前街  ,,南 北,,低楼层+随时入住+双卫生间+南北通透+业主自住,4500,,https://bj.lianjia.com/zufang/101103188519.html,,新华大街租房/低楼层(共6层)/2000年建板楼,2室2厅  
自供暖,整租,回龙观,昌平,房屋户型：2室1厅1卫  整租,104平米  ,云趣园一区  ,,南 北,,云趣园一区，南北向两居，家电齐全，精装修,6500,,https://bj.lianjia.com/zufang/101103147187.html,,回龙观租房/中楼层(共6层)/2000年建板楼,2室1厅  
,,,,,80平米  ,慧忠北里第三社区  ,原味,东,集中供暖,慧忠北里第三社区2居室,8090,近地铁,https://bj.lianjia.com/zufang/BJ0005524926.html,随时看房,亚运村租房/低楼层(共25层)/1997年建塔楼,2室1厅  
集中供暖,整租,劲松,朝阳,房屋户型：2室1厅1卫  整租,70平米  ,劲松南路  ,,南 西,,10号线潘家园 劲松南向精装修大客厅,6500,,https://bj.lianjia.com/zufang/101103192556.html,,劲松租房/高楼层(共18层)/1995年建塔楼,2室1厅  
集中供暖,暂无数据,学院路,海淀,房屋户型：1室0厅1卫  ,55平米  ,富润家园  ,,东,,富润家园 1室0厅 6900元,6900,,https://bj.lianjia.com/zufang/101103192586.html,,学院路租房/高楼层(共27层)/2003年建板塔结合,1室0厅  
集中供暖,暂无数据,福成四期,燕郊,房屋户型：2室1厅1卫  ,85平米  ,雷捷小区  ,,南 北,,雷捷小区 2室1厅 1300元,1300,,https://lf.lianjia.com/zufang/101103159076.html,,福成四期租房/低楼层(共6层)/2000年建板楼,2室1厅  
集中供暖,整租,丽泽,丰台,房屋户型：2室1厅1卫  整租,94平米  ,益丰苑  ,,南 北,,西三环六里桥益丰苑南北通透两居室,8200,,https://bj.lianjia.com/zufang/101103176033.html,,丽泽租房/中楼层(共17层)/2008年建板塔结合,2室1厅  
自供暖,整租,七里庄,丰台,房屋户型：2室2厅2卫  整租,118平米  ,西局欣园南区  ,,南 北,,七里庄 西局 西局欣园南区南北通透大两居,8000,,https://bj.lianjia.com/zufang/101103112395.html,,七里庄租房/低楼层(共15层)/2002年建板楼,2室2厅  
集中供暖,整租,北苑,朝阳,房屋户型：2室1厅2卫  整租,102平米  ,北苑家园望春园  ,精装修,西南,集中供暖,北苑家园望春园 地铁5号立水桥南站 精装2居2卫 居家,7800,近地铁,https://bj.lianjia.com/zufang/101103024934.html,随时看房,北苑租房/中楼层(共25层)/2006年建塔楼,2室1厅  
集中供暖,暂无数据,首尔甜城,燕郊,房屋户型：3室1厅1卫  ,125平米  ,首尔甜城二期  ,,南 北,,首尔甜城二期 3室1厅 2200元,2200,,https://lf.lianjia.com/zufang/101102840961.html,,首尔甜城租房/中楼层(共29层)/2016年建板楼,3室1厅  
自供暖,整租,长阳,房山,房屋户型：3室1厅1卫  整租,117平米  ,碧桂园小区C区  ,,南 北,,碧桂园大三居 空房出租 可以长租 一家人优先,4100,,https://bj.lianjia.com/zufang/101102437525.html,,长阳租房/高楼层(共16层)/2007年建板塔结合,3室1厅  
集中供暖,暂无数据,燕顺路国道,燕郊,房屋户型：3室1厅1卫  ,110平米  ,东方御景  ,,南 北,,东方御景 3室1厅 2500元,2500,,https://lf.lianjia.com/zufang/101103172372.html,,燕顺路国道租房/高楼层(共6层)/2001年建板楼,3室1厅  
集中供暖,整租,万寿路,海淀,房屋户型：2室1厅1卫  整租,96平米  ,万寿路西街9号  ,,南 北,,近万寿路地铁  精装大两居室可改三居  诚心出租,9300,,https://bj.lianjia.com/zufang/101103222594.html,,万寿路租房/中楼层(共6层)/1999年建板楼,2室1厅  
集中供暖,暂无数据,燕顺路国道,燕郊,房屋户型：2室1厅1卫  ,85平米  ,东贸国际  ,,南,,东贸国际 2室1厅 2600元,2600,,https://lf.lianjia.com/zufang/101103176191.html,,燕顺路国道租房/高楼层(共27层)/2009年建塔楼,2室1厅  
集中供暖,整租,苏州桥,海淀,房屋户型：2室2厅2卫  整租,127平米  ,大河庄苑  ,,南 北,,中关村苏州街大河庄苑南北通透板楼两居室 精装修,17000,,https://bj.lianjia.com/zufang/101103150787.html,,苏州桥租房/中楼层(共4层)/2004年建板楼,2室2厅  
集中供暖,整租,苹果园,石景山,房屋户型：2室1厅1卫  整租,58平米  ,模式口东里  ,,东 西,,模式口东里 2室1厅 3800元,3800,,https://bj.lianjia.com/zufang/101103165691.html,,苹果园租房/中楼层(共6层)/1990年建板楼,2室1厅  
集中供暖,整租,临河里,通州,房屋户型：5室2厅2卫  整租,182平米  ,金隅花石匠  ,,南 北,,金隅花石匠一层下跃不带院子 可居住可办公,12000,,https://bj.lianjia.com/zufang/101103200030.html,,临河里租房/低楼层(共12层)/2012年建板楼,5室2厅  
集中供暖,整租,芍药居,朝阳,房屋户型：1室1厅1卫  整租,45平米  ,芍药居北里  ,,南,,精装南北通透一居 小区中间不临街 拎包入住，价格可谈,6600,,https://bj.lianjia.com/zufang/101103157211.html,,芍药居租房/低楼层(共7层)/1994年建板楼,1室1厅  
集中供暖,暂无数据,大峪,门头沟,房屋户型：3房间1卫  ,55平米  ,中昂时代广场  ,,东 西,,中昂时代广场 3房间1卫 3500元,3500,,https://bj.lianjia.com/zufang/101103173507.html,,大峪租房/中楼层(共19层)/2017年建塔楼,3房间1卫  
集中供暖,暂无数据,门头沟其它,门头沟,房屋户型：2室1厅1卫  ,62平米  ,石泉砖厂A10区  ,,南 北,,石泉砖厂A10区 2室1厅 2600元,2600,,https://bj.lianjia.com/zufang/101103170073.html,,门头沟其它租房/高楼层(共6层)/2013年建板楼,2室1厅  
自供暖,整租,城子,门头沟,房屋户型：2室1厅1卫  整租,89平米  ,三家店老宿舍17号院  ,,南 北,,超划算两居室，使用面积大，南北通透交通方便。,3500,,https://bj.lianjia.com/zufang/101102659918.html,,城子租房/中楼层(共6层)/2005年建板楼,2室1厅  
集中供暖,暂无数据,广渠门,东城,房屋户型：1室0厅1卫  ,29平米  ,绿景苑  ,,北,,绿景苑 1室0厅 4700元,4700,,https://bj.lianjia.com/zufang/101103180770.html,,广渠门租房/高楼层(共12层)/2002年建板塔结合,1室0厅  
集中供暖,整租,顺义城,顺义,房屋户型：2室1厅1卫  整租,89平米  ,义宾北区  ,,东 西,,义宾北区 2室1厅 4500元,4500,,https://bj.lianjia.com/zufang/101103180772.html,,顺义城租房/高楼层(共6层)/2001年建板楼,2室1厅  
集中供暖,暂无数据,燕顺路东,燕郊,房屋户型：1室1厅1卫  ,53平米  ,燕京新城  ,,南 北,,燕京新城 1室1厅 1500元,1500,,https://lf.lianjia.com/zufang/101103180773.html,,燕顺路东租房/中楼层(共4层)/2003年建板楼,1室1厅  
集中供暖,暂无数据,建国门外,朝阳,房屋户型：2室2厅2卫  ,120平米  ,燕华苑  ,,南 北,,燕华苑 2室2厅 15000元,15000,,https://bj.lianjia.com/zufang/101103180785.html,,建国门外租房/低楼层(共28层)/1998年建板塔结合,2室2厅  
集中供暖,暂无数据,大望路,朝阳,房屋户型：1室0厅1卫  ,44平米  ,CBD传奇  ,,西北,,CBD传奇 1室0厅 6230元,6230,,https://bj.lianjia.com/zufang/101103180793.html,,大望路租房/中楼层(共21层)/2006年建板塔结合,1室0厅  
暂无数据,整租,西四,西城,房屋户型：2室1厅1卫  整租,51平米  ,太平仓胡同14号院  ,,东南,,太平仓胡同14号院 2室1厅 8500元,8500,,https://bj.lianjia.com/zufang/101103180831.html,,西四租房/高楼层(共6层)/1982年建板楼,2室1厅  
集中供暖,暂无数据,燕顺路西,燕郊,房屋户型：3室1厅2卫  ,139平米  ,纳丹堡  ,,南,,纳丹堡 3室1厅 2500元,2500,,https://lf.lianjia.com/zufang/101103180832.html,,燕顺路西租房/高楼层(共17层)/2009年建板楼,3室1厅  
集中供暖,整租,苹果园,石景山,房屋户型：2室2厅1卫  整租,80平米  ,苹果园小区四区  ,,南 北,,苹果园小区四区 2室2厅 5000元,5000,,https://bj.lianjia.com/zufang/101103180240.html,,苹果园租房/低楼层(共6层)/2001年建板楼,2室2厅  
集中供暖,整租,清河,海淀,房屋户型：2室1厅1卫  整租,58平米  ,621小区  ,,南,,621小区 2室1厅 6100元,6100,,https://bj.lianjia.com/zufang/101103180245.html,,清河租房/高楼层(共6层)/1990年建板楼,2室1厅  
暂无数据,暂无数据,旧宫,丰台,房屋户型：2室1厅1卫  ,49平米  ,万源西里  ,,南,,万源西里 2室1厅 4000元,4000,,https://bj.lianjia.com/zufang/101103180259.html,,旧宫租房/中楼层(共4层)/1990年建板楼,2室1厅  
